Posicion (mm),Conteos/s
10,392
10,374
10,405
10,404
10,367
9.8,323
9.8,315
9.8,351
9.8,339
9.8,308
9.6,275
9.6,259
9.6,270
9.6,280
9.6,267
9.4,205
9.4,190
9.4,197
9.4,205
9.4,181
9.2,119
9.2,137
9.2,122
9.2,123
9.2,113
9,111
9,120
9,116
9,94
9,118
8.8,104
8.8,103
8.8,112
8.8,84
8.8,95
8.6,105
8.6,113
8.6,105
8.6,117
8.6,113
8.4,120
8.4,133
8.4,134
8.4,116
8.4,127
8.2,108
8.2,104
8.2,103
8.2,109
8.2,105
8,233
8,243
8,264
8,239
8,252
7.8,357
7.8,321
7.8,347
7.8,316
7.8,304
7.6,170
7.6,173
7.6,178
7.6,169
7.6,151
7.4,267
7.4,283
7.4,297
7.4,300
7.4,286
7.2,803
7.2,719
7.2,717
7.2,745
7.2,842
7,464
7,460
7,458
7,476
7,467
6.8,220
6.8,216
6.8,202
6.8,222
6.8,229
6.6,1329
6.6,1262
6.6,1294
6.6,1470
6.6,1451
6.4,1750
6.4,1771
6.4,1761
6.4,1795
6.4,1806
6.3,715
6.3,653
6.3,620
6.3,673
6.3,624
6.2,318
6.2,303
6.2,313
6.2,295
6.2,303
6.1,260
6.1,268
6.1,276
6.1,257
6.1,264
6,555
6,584
6,592
6,610
6,567
5.9,1702
5.9,1791
5.9,1711
5.9,1836
5.9,1794
5.8,2235
5.8,2185
5.8,2222
5.8,2154
5.8,2228
5.7,2020
5.7,1873
5.7,1997
5.7,2054
5.7,1951
5.6,691
5.6,674
5.6,737
5.6,701
5.6,723
5.5,328
5.5,314
5.5,344
5.5,310
5.5,324
5.4,288
5.4,290
5.4,268
5.4,283
5.4,278
5.3,481
5.3,535
5.3,520
5.3,536
5.3,540
5.2,1616
5.2,1428
5.2,1427
5.2,1546
5.2,1655
5.1,1977
5.1,2005
5.1,1968
5.1,1944
5.1,1916
5,1604
5,1627
5,1715
5,1696
5,1658
4.9,587
4.9,577
4.9,562
4.9,546
4.9,578
4.8,570
4.8,580
4.8,561
4.8,581
4.8,594
4.6,414
4.6,426
4.6,402
4.6,445
4.6,419
4.4,954
4.4,889
4.4,867
4.4,738
4.4,1007
4.2,407
4.2,395
4.2,414
4.2,392
4.2,378
4,200
4,169
4,185
4,177
4,174
3.8,342
3.8,334
3.8,317
3.8,361
3.8,356
3.6,311
3.6,312
3.6,304
3.6,307
3.6,302
3.4,139
3.4,153
3.4,142
3.4,137
3.4,134
3.4,155
3.2,122
3.2,123
3.2,118
3.2,123
3.2,115
3.2,114
3,132
3,122
3,121
3,126
3,125
2.8,105
2.8,110
2.8,101
2.8,105
2.8,93
2.6,76
2.6,69
2.6,77
2.6,65
2.6,71
2.4,61
2.4,53
2.4,58
2.4,52
2.4,49
2.2,45
2.2,43
2.2,45
2.2,48
2.2,47
2,50
2,52
2,38
2,50
2,45
