Posicion (mm),Conteos/s
10,143
10,135
10,130
10,138
10,129
10,135
9.5,84
9.5,75
9.5,71
9.5,81
9.5,80
9.5,87
9,51
9,69
9,62
9,60
9,64
9,61
8.5,99
8.5,107
8.5,99
8.5,91
8.5,108
8.5,102
8,161
8,177
8,169
8,151
8,170
8,153
7.5,263
7.5,245
7.5,232
7.5,232
7.5,245
7.5,229
7,310
7,319
7,322
7,321
7,306
7,314
6.5,313
6.5,348
6.5,356
6.5,339
6.5,373
6.5,353
6,365
6,339
6,344
6,340
6,359
6,346
5.5,311
5.5,293
5.5,324
5.5,315
5.5,294
5.5,304
5,230
5,224
5,229
5,238
5,240
4.5,192
4.5,158
4.5,156
4.5,161
4.5,159
4,91
4,90
4,97
4,95
4,90
4,99
3.5,69
3.5,49
3.5,48
3.5,61
3.5,45
3,40
3,44
3,40
3,39
3,31
2.5,38
2.5,43
2.5,35
2.5,37
2.5,33
2,34
2,37
2,43
2,44
2,38
