Intensidad,Conteos/s
10,2351
10,2329
10,2266
10,2350
10,2358
10,2265
10,2240
10,2295
10,2317
10,2306
10,2307
10,2276
9,1856
9,1822
9,1790
9,1852
9,1823
9,1834
9,1854
9,1803
9,1681
9,1787
9,1798
9,1792
8,891
8,823
8,903
8,760
8,888
8,885
8,956
8,1152
8,1036
8,840
8,888
8,1012
7,427
7,408
7,434
7,410
7,422
7,403
7,441
7,428
7,434
7,438
7,422
7,399
6,278
6,276
6,270
6,302
6,270
6,292
6,271
6,266
6,298
6,277
6,268
6,271
5,164
5,186
5,180
5,164
5,169
5,167
5,196
5,190
5,196
5,190
5,186
5,171
4,106
4,97
4,111
4,97
4,105
4,103
4,104
4,101
4,91
4,104
4,106
4,87
3,67
3,80
3,62
3,78
3,70
3,70
3,72
3,59
3,62
3,66
3,71
3,69
2,52
2,54
2,54
2,49
2,52
2,57
2,60
2,55
2,49
2,49
2,49
2,45
1,47
1,57
1,44
1,45
1,53
1,42
1,49
1,54
1,43
1,53
1,43
1,49
0,47
0,49
0,44
0,47
0,40
0,44
0,39
0,54
0,50
0,41
0,40
0,40
