Posicion (mm),Voltaje (V)
10,0.404
9.9,0.343
9.8,0.29
9.7,0.236
9.6,0.19
9.5,0.152
9.4,0.118
9.3,0.087
9.2,0.062
9.1,0.04
9,0.026
8.9,0.017
8.8,0.015
8.7,0.014
8.6,0.015
8.5,0.017
8.4,0.02
8.3,0.023
8.2,0.027
8.1,0.032
8,0.037
7.9,0.042
7.8,0.045
7.7,0.048
7.6,0.051
7.5,0.055
7.4,0.06
7.3,0.067
7.2,0.075
7.1,0.084
7,0.093
6.9,0.099
6.8,0.103
6.7,0.106
6.6,0.108
6.5,0.11
6.4,0.116
6.3,0.123
6.2,0.132
6.1,0.142
6,0.15
5.9,0.157
5.8,0.16
5.7,0.161
5.6,0.161
5.5,0.162
5.4,0.163
5.3,0.167
5.2,0.173
5.1,0.18
5,0.186
4.9,0.19
4.8,0.191
4.7,0.19
4.6,0.186
4.5,0.181
4.4,0.179
4.3,0.177
4.2,0.178
4.1,0.179
4,0.18
3.9,0.181
3.8,0.179
3.7,0.175
3.6,0.168
3.5,0.16
3.4,0.153
3.3,0.148
3.2,0.144
3.1,0.141
3,0.139
2.9,0.137
2.8,0.133
2.7,0.128
2.6,0.121
2.5,0.113
2.4,0.104
2.3,0.097
2.2,0.09
2.1,0.085
2,0.081
1.9,0.078
1.8,0.07
1.7,0.069
1.6,0.064
1.5,0.057
1.4,0.051
1.3,0.045
1.2,0.04
1.1,0.036
1,0.032
0.9,0.029
0.8,0.026
0.7,0.023
0.6,0.02
0.5,0.017
0.4,0.015
0.3,0.012
0.2,0.011
0.1,0.011
0,0.011
